######################################################################
#
# LoggerIdentifier    : 1854632C
# Manufacturer        : Antares Datensysteme GmbH
# Comment             : 
# PC Time             : 03 April 2018 , 19:14:08
# Logger Time         : 03 April 2018 , 19:14:20
# StartBatteryVoltage :      2979 mV
# EndBatteryVoltage   :      2962 mV
# TotalSampleCount    :    159430
# ResistanceOffset    :     11904.08378
# ResistanceScale     : 数ResistanceScale
# DateOfCalibration   : 15 November 2017 , 07:52:00
# CalibrationFile     : C:\Users\Wentao Zhang\Desktop\软件著作权申请\main\FIELAX\FIELAX_SHP_Calibration_Files\1854632C.cal
# CalibrationFunction : $T(^{\circ}C) = \left(\sum_{i=0}^3A_i\ln(X)^i\right)^{-1}-273.15$, with $X=$resistance [$\Omega$]
# CalibrationCoeff    : 1.094676e-03 2.047478e-04 6.981233e-07 6.821322e-08
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2018 03 23 14 05 01    21254    30792.911       24.414
2018 03 23 14 05 02    21255    30794.155       24.413
2018 03 23 14 05 03    21257    30796.641       24.411
2018 03 23 14 05 04    21259    30799.128       24.410
2018 03 23 14 05 05    21260    30800.371       24.409
2018 03 23 14 05 06    21262    30802.858       24.407
2018 03 23 14 05 07    21263    30804.101       24.406
2018 03 23 14 05 08    21266    30807.831       24.404
2018 03 23 14 05 09    21267    30809.075       24.403
2018 03 23 14 05 10    21268    30810.318       24.402
2018 03 23 14 05 11    21270    30812.805       24.400
2018 03 23 14 05 12    21272    30815.292       24.398
2018 03 23 14 05 13    21273    30816.536       24.398
2018 03 23 14 05 14    21275    30819.023       24.396
2018 03 23 14 05 15    21276    30820.267       24.395
2018 03 23 14 05 16    21278    30822.755       24.393
2018 03 23 14 05 17    21278    30822.755       24.393
2018 03 23 14 05 18    21281    30826.486       24.391
2018 03 23 14 05 19    21282    30827.730       24.390
2018 03 23 14 05 20    21283    30828.974       24.389
2018 03 23 14 05 21    21284    30830.218       24.388
2018 03 23 14 05 22    21286    30832.706       24.386
2018 03 23 14 05 23    21287    30833.950       24.385
2018 03 23 14 05 24    21288    30835.194       24.385
2018 03 23 14 05 25    21290    30837.682       24.383
2018 03 23 14 05 26    21291    30838.926       24.382
2018 03 23 14 05 27    21292    30840.170       24.381
2018 03 23 14 05 28    21293    30841.414       24.380
2018 03 23 14 05 29    21295    30843.902       24.379
2018 03 23 14 05 30    21296    30845.147       24.378
2018 03 23 14 05 31    21297    30846.391       24.377
2018 03 23 14 05 32    21298    30847.635       24.376
2018 03 23 14 05 33    21299    30848.879       24.375
2018 03 23 14 05 34    21300    30850.124       24.374
2018 03 23 14 05 35    21302    30852.613       24.373
2018 03 23 14 05 36    21302    30852.613       24.373
2018 03 23 14 05 37    21303    30853.857       24.372
2018 03 23 14 05 38    21305    30856.346       24.370
2018 03 23 14 05 39    21305    30856.346       24.370
2018 03 23 14 05 40    21306    30857.590       24.369
2018 03 23 14 05 41    21307    30858.835       24.368
2018 03 23 14 05 42    21308    30860.079       24.367
2018 03 23 14 05 43    21310    30862.568       24.366
2018 03 23 14 05 44    21311    30863.813       24.365
2018 03 23 14 05 45    21312    30865.058       24.364
2018 03 23 14 05 46    21312    30865.058       24.364
2018 03 23 14 05 47    21313    30866.302       24.363
2018 03 23 14 05 48    21314    30867.547       24.362
2018 03 23 14 05 49    21315    30868.792       24.361
2018 03 23 14 05 50    21316    30870.036       24.360
2018 03 23 14 05 51    21317    30871.281       24.360
2018 03 23 14 05 52    21318    30872.526       24.359
2018 03 23 14 05 53    21318    30872.526       24.359
2018 03 23 14 05 54    21319    30873.771       24.358
2018 03 23 14 05 55    21320    30875.016       24.357
2018 03 23 14 05 56    21321    30876.260       24.356
2018 03 23 14 05 57    21322    30877.505       24.355
2018 03 23 14 05 58    21323    30878.750       24.354
2018 03 23 14 05 59    21323    30878.750       24.354
2018 03 23 14 06 00    21325    30881.240       24.353
2018 03 23 14 06 01    21325    30881.240       24.353
2018 03 23 14 06 02    21326    30882.485       24.352
2018 03 23 14 06 03    21327    30883.730       24.351
2018 03 23 14 06 04    21327    30883.730       24.351
2018 03 23 14 06 05    21329    30886.220       24.349
2018 03 23 14 06 06    21329    30886.220       24.349
2018 03 23 14 06 07    21330    30887.465       24.348
2018 03 23 14 06 08    21331    30888.710       24.348
2018 03 23 14 06 09    21332    30889.955       24.347
2018 03 23 14 06 10    21332    30889.955       24.347
2018 03 23 14 06 11    21334    30892.446       24.345
2018 03 23 14 06 12    21333    30891.201       24.346
2018 03 23 14 06 13    21334    30892.446       24.345
2018 03 23 14 06 14    21335    30893.691       24.344
2018 03 23 14 06 15    21336    30894.936       24.343
2018 03 23 14 06 16    21336    30894.936       24.343
2018 03 23 14 06 17    21337    30896.181       24.342
2018 03 23 14 06 18    21338    30897.427       24.342
2018 03 23 14 06 19    21338    30897.427       24.342
2018 03 23 14 06 20    21339    30898.672       24.341
2018 03 23 14 06 21    21339    30898.672       24.341
2018 03 23 14 06 22    21340    30899.917       24.340
2018 03 23 14 06 23    21341    30901.163       24.339
2018 03 23 14 06 24    21341    30901.163       24.339
2018 03 23 14 06 25    21342    30902.408       24.338
2018 03 23 14 06 26    21342    30902.408       24.338
2018 03 23 14 06 27    21343    30903.654       24.337
2018 03 23 14 06 28    21344    30904.899       24.336
2018 03 23 14 06 29    21345    30906.144       24.336
2018 03 23 14 06 30    21345    30906.144       24.336
2018 03 23 14 06 31    21345    30906.144       24.336
2018 03 23 14 06 32    21346    30907.390       24.335
2018 03 23 14 06 33    21346    30907.390       24.335
2018 03 23 14 06 34    21346    30907.390       24.335
2018 03 23 14 06 35    21347    30908.635       24.334
2018 03 23 14 06 36    21347    30908.635       24.334
2018 03 23 14 06 37    21348    30909.881       24.333
2018 03 23 14 06 38    21349    30911.127       24.332
2018 03 23 14 06 39    21349    30911.127       24.332
2018 03 23 14 06 40    21349    30911.127       24.332
2018 03 23 14 06 41    21350    30912.372       24.331
2018 03 23 14 06 42    21350    30912.372       24.331
2018 03 23 14 06 43    21351    30913.618       24.330
2018 03 23 14 06 44    21351    30913.618       24.330
2018 03 23 14 06 45    21351    30913.618       24.330
2018 03 23 14 06 46    21351    30913.618       24.330
2018 03 23 14 06 47    21352    30914.863       24.330
